mot_capverdien,traduction,categorie
brigadu,obrigado,Expression
brilho,brilho,Nom
brinka,brincar,Verbe
brinkadera,brincadeira,Nom
brinkedu,brinquedo,Nom
brinku,brinco,Nom
brio,brio,Nom
brisa,brisa,Nom
broka,broca,Nom
bronze,bronze,Nom
brufa,chuvisco,Nom
bruxa,bruxa,Nom
bruxaria,bruxaria,Nom
bua,voar,Verbe
buati,boate / discoteca,Nom
bubu,bobo,Adjectif
bubu,bebida,Nom
bueru,bueiro,Nom
bufa,bufar / peidar,Verbe
bule,bule,Nom
buleia,boleia,Nom
buli,mexer,Verbe
bulu,bolo,Nom
bumbum,bumbum,Nom
bunda,bunda,Nom
buraku,buraco,Nom
buraxu,borracha,Nom
bureza,burrice,Nom
burgues,burguês,Nom
burla,burla,Nom
burru,burro,Nom
buska,buscar,Verbe
bussola,bússola,Nom
butu,boto,Nom
buzina,buzina,Nom
buzu,búzio,Nom
cabana,cabana,Nom
cabelo,cabelo,Nom
cabo,cabo,Nom
caça,caça,Nom
cachor,cachorro,Nom
cadeia,cadeia,Nom
cafe,café,Nom
caju,caju,Nom
calor,calor,Nom
cama,cama,Nom
camisa,camisa,Nom
campu,campo,Nom
canal,canal,Nom
caneta,caneta,Nom
canu,cano,Nom
capaz,capaz,Adjectif
capitulo,capítulo,Nom
cara,cara,Nom
caracter,carácter,Nom
carga,carga,Nom
carne,carne,Nom
caro,caro,Adjectif
carta,carta,Nom
casa,casa,Nom
casamentu,casamento,Nom
cascu,casco,Nom
caso,caso,Nom
castigo,castigo,Nom
catoliku,católico,Adjectif
cavalo,cavalo,Nom
cegu,cego,Adjectif
ceia,ceia,Nom
celebra,celebrar,Verbe
cemiteriu,cemitério,Nom
cena,cena,Nom
centru,centro,Nom
cera,cera,Nom
cerca,cerca,Nom
cerebru,cérebro,Nom
certo,certo,Adjectif
cerveja,cerveja,Nom
ceu,céu,Nom
cha,chá,Nom
chamar,chamar,Verbe
chave,chave,Nom
chefe,chefe,Nom
chegadu,chegado,Adjectif
cheiro,cheiro,Nom
choque,choque,Nom
chover,chover,Verbe
chumbo,chumbo,Nom
chuva,chuva,Nom
ciclu,ciclo,Nom
cidadania,cidadania,Nom
cidade,cidade,Nom
ciencia,ciência,Nom
cientista,cientista,Nom
cigarru,cigarro,Nom
cimentu,cimento,Nom
cinco,cinco,Nombre
cinema,cinema,Nom
cintu,cinto,Nom
cinza,cinza,Nom
circulu,círculo,Nom
cirurjia,cirurgia,Nom
civil,civil,Adjectif
clara,clara (ovo),Nom
claru,claro,Adjectif
classe,classe,Nom
clienti,cliente,Nom
clima,clima,Nom
clinika,clínica,Nom
clube,clube,Nom
cobertor,cobertor,Nom
cobre,cobre,Nom
coelho,coelho,Nom
